Model,Metric,Epoch1,Epoch2,Epoch3,Epoch4,Epoch5,Epoch6,Epoch7,Epoch8,Epoch9,Epoch10,Epoch11,Epoch12,Epoch13,Epoch14,Epoch15,Epoch16,Epoch17,Epoch18,Epoch19,Epoch20,Epoch21,Epoch22,Epoch23,Epoch24,Epoch25,Epoch26,Epoch27,Epoch28,Epoch29,Epoch30,Epoch31,Epoch32,Epoch33,Epoch34,Epoch35,Epoch36,Epoch37,Epoch38,Epoch39,Epoch40,Epoch41,Epoch42,Epoch43,Epoch44,Epoch45,Epoch46,Epoch47,Epoch48,Epoch49,Epoch50
5_GCN_Layers_mean_pool_lin_50_32_1,Accuracy,0.6716837882995605,0.7471970319747925,0.807044506072998,0.8189218044281006,0.841191828250885,0.8232222199440002,0.866379976272583,0.8514308929443359,0.9093329310417175,0.912199854850769,0.9220293760299683,0.9269953370094299,0.9217222332954407,0.9388726949691772,0.9362105131149292,0.9517739415168762,0.9558183550834656,0.9123022556304932,0.9643167853355408,0.9617058038711548,0.9580197334289551,0.9675933122634888,0.961245059967041,0.9781395792961121,0.9764500856399536,0.9745558500289917,0.9786515235900879,0.9733783602714539,0.9402037858963013,0.9471151232719421,0.9823375940322876,0.961193859577179,0.9782419204711914,0.9849997162818909,0.9707674384117126,0.9358521699905396,0.9859212636947632,0.972866415977478,0.9854605197906494,0.9832078814506531,0.987047553062439,0.9708698391914368,0.9816208481788635,0.9804945588111877,0.964470386505127,0.9664158225059509,0.9809553027153015,0.9862284064292908,0.9815184473991394,0.985153317451477
5_GCN_Layers_mean_pool_lin_50_32_1,L2_Loss,129.08155822753906,187.96734619140625,242.7487030029297,297.8756103515625,348.5283203125,387.0868225097656,418.8796081542969,438.9543151855469,461.5079345703125,488.75421142578125,518.3048706054688,552.0589599609375,581.4666137695312,603.8060913085938,635.1168823242188,647.6242065429688,671.517333984375,681.4269409179688,699.16845703125,714.8477172851562,734.1771240234375,741.8204345703125,766.6569213867188,772.5139770507812,778.187744140625,782.6370239257812,809.6561889648438,802.0343017578125,812.0564575195312,830.48046875,840.9855346679688,834.8556518554688,840.701904296875,844.314208984375,838.6805419921875,855.066650390625,856.1026611328125,880.83935546875,878.296630859375,879.7037353515625,901.4290161132812,878.749755859375,873.1790771484375,886.2557983398438,897.6221923828125,907.6219482421875,904.9818725585938,899.4392700195312,901.59814453125,881.8491821289062
5_GCN_Layers_mean_pool_lin_50_32_1,Total_Loss,13.469330787658691,11.694448471069336,9.2040376663208,8.98127555847168,8.126395225524902,8.364635467529297,6.805881023406982,7.625202655792236,5.159758567810059,5.047909259796143,4.351172924041748,4.129708766937256,4.191082000732422,3.614117383956909,4.0374755859375,3.077665328979492,2.896639108657837,5.122149467468262,2.5533928871154785,2.7874808311462402,3.0517587661743164,2.5117416381835938,2.7971034049987793,2.0312180519104004,2.1784372329711914,2.1284244060516357,2.0212035179138184,2.1622679233551025,3.9892959594726562,3.76981258392334,1.7398381233215332,2.814629077911377,1.9570741653442383,1.7244641780853271,2.364422559738159,4.13762092590332,1.6676346063613892,2.2339134216308594,1.712938666343689,1.7779749631881714,1.738814353942871,2.558008909225464,1.9141924381256104,1.8718187808990479,2.7801871299743652,2.588890790939331,1.8877739906311035,1.6587573289871216,1.932987928390503,1.6821650266647339
5_GCN_Layers_mean_pool_lin_50_16_1,Accuracy,0.6309834718704224,0.5836789011955261,0.755285918712616,0.848871111869812,0.8539906740188599,0.856038510799408,0.8995546102523804,0.8949981927871704,0.9071314930915833,0.8694005012512207,0.9331387877464294,0.9326268434524536,0.9409204721450806,0.9465007781982422,0.9230533242225647,0.9467055797576904,0.9388214945793152,0.9389750957489014,0.9591460824012756,0.954231321811676,0.9431731104850769,0.9328827857971191,0.9666717648506165,0.9466543793678284,0.9668253660202026,0.9274560809135437,0.9704090356826782,0.9691803455352783,0.9620642066001892,0.9732760190963745,0.9510571956634521,0.9478830695152283,0.9806481599807739,0.9708698391914368,0.965135931968689,0.9696922898292542,0.97747403383255,0.9697946906089783,0.9641631841659546,0.9798290133476257,0.9627297520637512,0.9759381413459778,0.9745047092437744,0.965187132358551,0.972866415977478,0.9789586663246155,0.9846413731575012,0.9791122674942017,0.9717913269996643,0.9716377258300781
5_GCN_Layers_mean_pool_lin_50_16_1,L2_Loss,106.5305404663086,166.3097381591797,228.37315368652344,258.50439453125,289.7130432128906,324.9762878417969,357.03765869140625,390.5389404296875,419.435791015625,446.2351379394531,467.0700988769531,483.2071838378906,503.30596923828125,523.2310791015625,536.7339477539062,556.935791015625,571.1309814453125,581.7217407226562,596.0868530273438,608.4243774414062,616.2949829101562,627.8981323242188,639.162353515625,648.4768676757812,664.017578125,677.470947265625,686.3836059570312,691.5826416015625,706.0263061523438,716.2715454101562,710.1718139648438,731.1259155273438,731.1896362304688,737.1650390625,734.4317016601562,742.2926025390625,755.8119506835938,746.554443359375,768.039306640625,777.3185424804688,770.2507934570312,768.122802734375,764.8453369140625,772.2320556640625,771.7664184570312,769.091796875,769.6165771484375,791.5469360351562,793.9814453125,783.7464599609375
5_GCN_Layers_mean_pool_lin_50_16_1,Total_Loss,14.395354270935059,16.693395614624023,11.459754943847656,7.645373821258545,6.967064380645752,7.3887529373168945,5.412142753601074,5.705179214477539,5.149797439575195,6.884526252746582,4.050322532653809,4.079771995544434,3.6322474479675293,3.410062313079834,4.360997200012207,3.4214699268341064,3.4713761806488037,3.9018867015838623,2.8728580474853516,3.0796709060668945,3.7002525329589844,4.159339904785156,2.481752872467041,3.3792920112609863,2.4096484184265137,4.5406880378723145,2.4445595741271973,2.4407074451446533,2.749048948287964,2.3891100883483887,3.2880096435546875,3.605508804321289,1.984420657157898,2.3710408210754395,2.652029037475586,2.4905872344970703,2.0737154483795166,2.3114123344421387,2.7780964374542236,2.076946496963501,2.951643228530884,2.1956329345703125,2.1814796924591064,2.4627718925476074,2.225722074508667,2.0332190990448,1.7382714748382568,2.005532741546631,2.304678440093994,2.4797048568725586
5_GCN_Layers_max_pool_lin_50_32_1,Accuracy,0.753391683101654,0.8957661390304565,0.854093074798584,0.9393846392631531,0.9305278062820435,0.9324732422828674,0.9484974145889282,0.9577125906944275,0.9594532251358032,0.9568934440612793,0.9690779447555542,0.935391366481781,0.952900230884552,0.9755797982215881,0.9727640151977539,0.9726616740226746,0.9706138372421265,0.9650847315788269,0.8524036407470703,0.9655966758728027,0.9763477444648743,0.9639584422111511,0.965187132358551,0.9672349095344543,0.9824911952018738,0.970920979976654,0.9613474607467651,0.9749142527580261,0.9681564569473267,0.9865868091583252,0.9704602360725403,0.966518223285675,0.9803409576416016,0.9750678539276123,0.9789586663246155,0.965135931968689,0.9730200171470642,0.9745558500289917,0.9626785516738892,0.9783955216407776,0.9621154069900513,0.9806481599807739,0.9530538320541382,0.9826447367668152,0.9752213954925537,0.985767662525177,0.9696922898292542,0.9885834455490112,0.979419469833374,0.9888905882835388
5_GCN_Layers_max_pool_lin_50_32_1,L2_Loss,136.89212036132812,161.20269775390625,183.34889221191406,210.98092651367188,236.73497009277344,258.6747131347656,275.0683288574219,290.3431091308594,303.3819885253906,315.0788269042969,328.9808654785156,341.300537109375,353.0386657714844,364.8367004394531,371.21478271484375,380.3783264160156,389.7200622558594,400.5403137207031,403.0531921386719,407.8207092285156,410.26312255859375,414.4942932128906,420.60113525390625,433.0458984375,430.8861389160156,434.393798828125,436.18792724609375,445.9854431152344,448.5418395996094,449.1877746582031,465.98974609375,467.603271484375,466.2384033203125,469.98077392578125,473.0408630371094,478.8786315917969,482.33819580078125,489.50848388671875,488.9269104003906,493.0386962890625,492.16925048828125,502.7462158203125,516.197265625,509.44818115234375,518.180908203125,522.6350708007812,509.9694519042969,515.0465087890625,526.2822875976562,524.3351440429688
5_GCN_Layers_max_pool_lin_50_32_1,Total_Loss,10.459429740905762,5.903584957122803,7.378376007080078,3.827331781387329,3.9045345783233643,3.729612350463867,2.9851205348968506,2.7015488147735596,2.527717113494873,2.6419546604156494,2.1353988647460938,3.4704878330230713,2.8780698776245117,1.8007123470306396,2.0027828216552734,1.8916529417037964,2.0333166122436523,2.245830535888672,7.839076042175293,2.119077682495117,1.795226812362671,2.2672619819641113,2.122556209564209,2.2002482414245605,1.4215977191925049,1.9497846364974976,2.2885186672210693,1.7274279594421387,2.1796252727508545,1.309084415435791,2.153773069381714,2.3664324283599854,1.562802791595459,1.7953181266784668,1.600737452507019,2.37854266166687,1.9147452116012573,1.7858659029006958,2.376512050628662,1.6848888397216797,2.396366596221924,1.5553836822509766,2.783444881439209,1.5103180408477783,1.8751792907714844,1.3894193172454834,2.1550724506378174,1.254256010055542,1.5712248086929321,1.1719050407409668
5_GCN_Layers_max_pool_lin_50_16_1,Accuracy,0.8231710195541382,0.7948088049888611,0.9062612056732178,0.9190088510513306,0.9197255969047546,0.937336802482605,0.9539241194725037,0.9494189023971558,0.8158500790596008,0.9023703336715698,0.9647263884544373,0.9695899486541748,0.9378999471664429,0.9698970913887024,0.9103568196296692,0.9126094579696655,0.9563814997673035,0.9732248187065125,0.967746913433075,0.923155665397644,0.9814160466194153,0.9071314930915833,0.8731889724731445,0.9628833532333374,0.953565776348114,0.9358009696006775,0.9661086201667786,0.9722520709037781,0.9615010619163513,0.9630368947982788,0.9829007387161255,0.9666205644607544,0.9589412808418274,0.9220805764198303,0.9708186388015747,0.9868939518928528,0.9339579343795776,0.9662622213363647,0.9811601042747498,0.9389238953590393,0.9802385568618774,0.9702554941177368,0.9824911952018738,0.9773204326629639,0.893564760684967,0.9841806292533875,0.9484974145889282,0.9827983379364014,0.9872523546218872,0.976808488368988
